BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,BankDomain,LogoUrl
418740,VISA,CREDIT,CLASSIC,BEMO SAUDI FRANSA BANK SARL,,,SY,SYR,SYRIAN ARAB REPUBLIC,bbsfbank.sy,https://img.logo.dev/bbsfbank.sy?format=png&size=400
418741,VISA,CREDIT,GOLD,BEMO SAUDI FRANSA BANK SARL,,,SY,SYR,SYRIAN ARAB REPUBLIC,bbsfbank.sy,https://img.logo.dev/bbsfbank.sy?format=png&size=400
418750,VISA,CREDIT,BUSINESS,STANDARD CHARTERED BANK,+971600522288,https://www.sc.com,AE,ARE,UNITED ARAB EMIRATES,sc.com,https://commons.wikimedia.org/wiki/File:Standard_Chartered_(2021).svg
418763,VISA,CREDIT,PLATINUM,"NATIONAL BANK OF KUWAIT, S.A.K.",(+) 966 2 653-8600,http://www.nbk.com,SA,SAU,SAUDI ARABIA,nbk.com,https://commons.wikimedia.org/wiki/File:National_Bank_of_Kuwait_logo.svg
418764,VISA,CREDIT,SIGNATURE BUSINESS,BARRAQ FINANCE COMPANY,,,SA,SAU,SAUDI ARABIA,barraq.com,https://img.logo.dev/barraq.com?format=png&size=400
418766,VISA,CREDIT,PLATINUM,"NATIONAL BANK OF KUWAIT, S.A.K.",+97317583333,http://www.nbk.com,BH,BHR,BAHRAIN,nbk.com,https://commons.wikimedia.org/wiki/File:National_Bank_of_Kuwait_logo.svg
418767,VISA,DEBIT,CLASSIC,"NATIONAL BANK OF KUWAIT, S.A.K.",+97142929222,http://www.nbk.com,AE,ARE,UNITED ARAB EMIRATES,nbk.com,https://commons.wikimedia.org/wiki/File:National_Bank_of_Kuwait_logo.svg
418768,VISA,CREDIT,PLATINUM,"NATIONAL BANK OF KUWAIT, S.A.K.",+97142929222,http://www.nbk.com,AE,ARE,UNITED ARAB EMIRATES,nbk.com,https://commons.wikimedia.org/wiki/File:National_Bank_of_Kuwait_logo.svg
418804,VISA,CREDIT,,BANQUE LIBANO-FRANCAISE S.A.L.,1272,http://www.eblf.com,LB,LBN,LEBANON,eblf.com,https://img.logo.dev/eblf.com?format=png&size=400
418822,VISA,CREDIT,CLASSIC,BANKMED SAL,,,LB,LBN,LEBANON,bankmed.com.lb,https://commons.wikimedia.org/wiki/File:BankMed_logo.svg
418825,VISA,CREDIT,SIGNATURE,BANKMED SAL,,,LB,LBN,LEBANON,bankmed.com.lb,https://commons.wikimedia.org/wiki/File:BankMed_logo.svg
418828,VISA,DEBIT,PREPAID PLATINUM,BANKMED S.A.L.,+9611708090,http://www.bankmed.com.lb,LB,LBN,LEBANON,bankmed.com.lb,https://commons.wikimedia.org/wiki/File:BankMed_logo.svg
418829,VISA,DEBIT,PREPAID CLASSIC,QATAR NATIONAL BANK S.A.E,,,EG,EGY,EGYPT,qnb.com,https://commons.wikimedia.org/wiki/File:Qatar_National_Bank_Logo.svg
418833,VISA,DEBIT,GOLD,ARAB AFRICAN INTERNATIONAL BANK,+20224886679,http://www.aaib.com,EG,EGY,EGYPT,aaib.com,https://commons.wikimedia.org/wiki/File:Arab_African_International_Bank_Logo.svg
418854,VISA,CREDIT,CLASSIC,ALLIED BANK S.A.L.,,http://www.alliedbank.com.lb,LB,LBN,LEBANON,alliedbank.com.lb,https://img.logo.dev/alliedbank.com.lb?format=png&size=400
418855,VISA,DEBIT,ELECTRON,ALLIED BANK S.A.L.,,http://www.alliedbank.com.lb,LB,LBN,LEBANON,alliedbank.com.lb,https://img.logo.dev/alliedbank.com.lb?format=png&size=400
418856,VISA,CREDIT,PLATINUM,BANKMED SAL,,,LB,LBN,LEBANON,bankmed.com.lb,https://commons.wikimedia.org/wiki/File:BankMed_logo.svg
418886,VISA,DEBIT,ELECTRON,EMIRATES NBD,+971800456,http://www.emiratesnbd.com,AE,ARE,UNITED ARAB EMIRATES,emiratesnbd.com,https://commons.wikimedia.org/wiki/File:Emirates_NBD_logo.svg
418887,VISA,CREDIT,PLATINUM,EMIRATES NBD BANK (P.J.S.C.),+971800456,http://www.emiratesnbd.com,AE,ARE,UNITED ARAB EMIRATES,emiratesnbd.com,https://commons.wikimedia.org/wiki/File:Emirates_NBD_logo.svg
418889,VISA,CREDIT,PLATINUM,EMIRATES NBD BANK (P.J.S.C.),+971800456,http://www.emiratesnbd.com,AE,ARE,UNITED ARAB EMIRATES,emiratesnbd.com,https://commons.wikimedia.org/wiki/File:Emirates_NBD_logo.svg
